time,car_ID_TX,car_ID_RX,snr_values,distance_values,rel_speed_values,snr_values_norm,distance_values_norm,rel_speed_values_norm,composite_snr_db,use_nn
10,v1,v2,40.0,20.22,20.0,1.0,0.1011,0.4,36.9112,False
10,v1,v5,40.0,110.0,20.0,1.0,0.55,0.4,35.4401,False
10,v1,v6,40.0,190.02,10.0,1.0,0.9501,0.2,35.1414,True
10,v1,v9,40.0,260.0,10.0,1.0,1.3,0.2,34.869,True
10,v1,v10,40.0,280.02,0.0,1.0,1.4001,0.0,35.1056,True
10,v2,v1,20.0,20.22,20.0,0.6,0.1011,0.4,16.9112,True
10,v2,v5,20.0,130.03,40.0,0.6,0.6502,0.8,15.0729,True
10,v2,v6,20.0,210.0,10.0,0.6,1.05,0.2,15.0545,True
10,v2,v9,20.0,280.02,30.0,0.6,1.4001,0.6,14.5036,True
10,v2,v10,20.0,300.0,20.0,0.6,1.5,0.4,14.5686,True
10,v3,v4,20.0,50.09,30.0,0.6,0.2504,0.6,15.9984,True
10,v3,v7,20.0,100.0,30.0,0.6,0.5,0.6,15.3979,True
10,v3,v8,20.0,130.03,10.0,0.6,0.6502,0.2,15.4709,True
10,v3,v11,20.0,220.0,0.0,0.6,1.1,0.0,15.3152,True
10,v3,v15,20.0,220.0,50.0,0.6,1.1,1.0,14.537,True
10,v4,v3,40.0,50.09,30.0,1.0,0.2504,0.6,35.9984,False
10,v4,v7,40.0,50.09,0.0,1.0,0.2504,0.0,36.6005,False
10,v4,v8,40.0,80.0,20.0,1.0,0.4,0.4,35.7167,False
10,v4,v12,40.0,170.0,20.0,1.0,0.85,0.4,35.062,True
10,v4,v16,40.0,170.0,20.0,1.0,0.85,0.4,35.062,True
11,v1,v2,40.0,3.0,10.0,1.0,0.015,0.2,38.7447,False
11,v1,v5,40.0,90.0,10.0,1.0,0.45,0.2,35.7905,False
11,v1,v6,40.0,200.02,10.0,1.0,1.0001,0.2,35.0968,True
11,v1,v9,40.0,250.0,10.0,1.0,1.25,0.2,34.9031,True
11,v1,v10,40.0,280.02,0.0,1.0,1.4001,0.0,35.1056,True
11,v2,v1,20.0,3.0,10.0,0.6,0.015,0.2,18.7447,False
11,v2,v5,20.0,90.05,20.0,0.6,0.4502,0.4,15.6139,True
11,v2,v6,20.0,200.0,0.0,0.6,1.0,0.0,15.3979,True
11,v2,v9,20.0,250.02,20.0,0.6,1.2501,0.4,14.7269,True
11,v2,v10,20.0,280.0,10.0,0.6,1.4,0.2,14.8047,True
11,v3,v4,20.0,80.06,10.0,0.6,0.4003,0.2,15.8922,True
11,v3,v7,20.0,130.0,30.0,0.6,0.65,0.6,15.1701,True
11,v3,v8,20.0,140.03,20.0,0.6,0.7002,0.4,15.2304,True
11,v3,v11,20.0,220.0,40.0,0.6,1.1,0.8,14.6162,True
11,v3,v15,20.0,270.0,10.0,0.6,1.35,0.2,14.8362,True
11,v4,v7,40.0,50.09,20.0,1.0,0.2504,0.4,36.1234,False
11,v4,v8,40.0,60.0,10.0,1.0,0.3,0.2,36.1427,False
11,v4,v3,40.0,80.06,10.0,1.0,0.4003,0.2,35.8922,False
11,v4,v11,40.0,140.03,30.0,1.0,0.7002,0.6,35.1055,True
11,v4,v12,40.0,190.0,10.0,1.0,0.95,0.2,35.1415,True
12,v1,v2,40.0,10.44,20.0,1.0,0.0522,0.4,37.4855,False
12,v1,v5,40.0,100.0,0.0,1.0,0.5,0.0,36.0,False
12,v1,v6,40.0,190.02,10.0,1.0,0.9501,0.2,35.1414,True
12,v1,v9,40.0,260.0,30.0,1.0,1.3,0.6,34.568,True
12,v1,v10,40.0,280.02,30.0,1.0,1.4001,0.6,34.5036,True
12,v2,v1,20.0,10.44,20.0,0.6,0.0522,0.4,17.4855,True
12,v2,v5,20.0,110.04,20.0,0.6,0.5502,0.4,15.4398,True
12,v2,v6,20.0,200.0,10.0,0.6,1.0,0.2,15.0969,True
12,v2,v9,20.0,270.02,10.0,0.6,1.3501,0.2,14.8362,True
12,v2,v10,20.0,290.0,10.0,0.6,1.45,0.2,14.7742,True
12,v3,v4,20.0,70.06,0.0,0.6,0.3503,0.0,16.309,True
12,v3,v7,20.0,100.0,20.0,0.6,0.5,0.4,15.5229,True
12,v3,v8,20.0,120.04,20.0,0.6,0.6002,0.4,15.3642,True
12,v3,v11,20.0,180.0,10.0,0.6,0.9,0.2,15.1884,True
12,v3,v12,20.0,250.02,10.0,0.6,1.2501,0.2,14.903,True
12,v4,v7,40.0,30.15,20.0,1.0,0.1507,0.4,36.5643,False
12,v4,v8,40.0,50.0,20.0,1.0,0.25,0.4,36.1249,False
12,v4,v3,40.0,70.06,0.0,1.0,0.3503,0.0,36.309,False
