epoch,train_acc,test_acc,epoch_time,estimated_total
1,50.548,61.22,15.207552671432495,304.1510534286499
2,65.054,65.75,14.54671025276184,297.54262924194336
3,70.632,70.02,14.332674980163574,293.91291936238605
4,75.226,71.64,14.328872203826904,292.0790505409241
5,78.792,72.82,15.001750230789185,293.670241355896
6,82.336,72.64,14.772420883178711,293.96660407384235
7,85.826,72.68,14.728560209274292,294.05297551836287
8,89.548,72.84,14.60123610496521,293.79944384098053
9,92.356,72.98,14.827691078186035,294.1054858101739
10,95.0,71.9,14.60334300994873,293.90162324905396
11,96.678,72.19,14.564640045166016,293.66445758125997
12,97.428,73.12,14.602202892303467,293.5294242699941
13,97.476,72.22,14.803962469100952,293.7255646632268
14,98.172,72.22,15.108250379562378,294.32838201522827
15,97.926,72.19,14.851093769073486,294.50794823964435
16,98.29,72.28,14.57778787612915,294.32343631982803
17,98.84,71.86,14.494946002960205,294.0631706574384
18,98.632,71.4,14.847415208816528,294.2234558529324
19,98.44,72.24,14.787970542907715,294.3042955900494
20,98.332,71.57,14.710685968399048,294.2997667789459
