time,car_ID_TX,car_ID_RX,snr_values,distance_values,rel_speed_values,snr_values_norm,distance_values_norm,rel_speed_values_norm,composite_snr_db,use_nn,testing_case,psnr,accuracy
10,v1,v2,40.0,20.22,20.0,1.0,0.1011,0.4,9.1116,False,fuzzy_logic_fixed_snr,15.2485,0.791
10,v1,v5,40.0,110.0,20.0,1.0,0.55,0.4,-5.5991,False,fuzzy_logic_fixed_snr,0.5365,0.1207
10,v1,v6,40.0,190.02,10.0,1.0,0.9501,0.2,-8.5865,True,fuzzy_logic_fixed_snr,5.6717,0.1178
10,v2,v1,20.0,20.22,20.0,0.6,0.1011,0.4,-10.8884,True,fuzzy_logic_fixed_snr,3.4201,0.1184
10,v2,v5,20.0,130.03,40.0,0.6,0.6502,0.8,-29.2709,True,fuzzy_logic_fixed_snr,-0.6358,0.0875
10,v3,v4,20.0,50.09,30.0,0.6,0.2504,0.6,-20.0156,True,fuzzy_logic_fixed_snr,-0.2942,0.1131
10,v3,v7,20.0,100.0,30.0,0.6,0.5,0.6,-26.0206,True,fuzzy_logic_fixed_snr,-0.5745,0.0998
10,v3,v8,20.0,130.03,10.0,0.6,0.6502,0.2,-25.2915,True,fuzzy_logic_fixed_snr,-0.5648,0.1018
10,v4,v3,40.0,50.09,30.0,1.0,0.2504,0.6,-0.0156,False,fuzzy_logic_fixed_snr,6.1225,0.1863
10,v4,v7,40.0,50.09,0.0,1.0,0.2504,0.0,6.005,False,fuzzy_logic_fixed_snr,12.1413,0.5596
10,v4,v8,40.0,80.0,20.0,1.0,0.4,0.4,-2.833,False,fuzzy_logic_fixed_snr,3.3039,0.1473
10,v4,v12,40.0,170.0,20.0,1.0,0.85,0.4,-9.3802,True,fuzzy_logic_fixed_snr,4.8217,0.1223
10,v4,v16,40.0,170.0,20.0,1.0,0.85,0.4,-9.3802,True,fuzzy_logic_fixed_snr,4.8315,0.1277
11,v1,v2,40.0,3.0,10.0,1.0,0.015,0.2,27.4473,False,fuzzy_logic_fixed_snr,33.5839,0.9883
11,v1,v5,40.0,90.0,10.0,1.0,0.45,0.2,-2.0952,False,fuzzy_logic_fixed_snr,4.0421,0.1627
11,v2,v1,20.0,3.0,10.0,0.6,0.015,0.2,7.4473,False,fuzzy_logic_fixed_snr,13.586,0.691
11,v2,v5,20.0,90.05,20.0,0.6,0.4502,0.4,-23.8609,True,fuzzy_logic_fixed_snr,-0.5214,0.1072
11,v2,v6,20.0,200.0,0.0,0.6,1.0,0.0,-26.0206,True,fuzzy_logic_fixed_snr,-0.577,0.1018
11,v3,v4,20.0,80.06,10.0,0.6,0.4003,0.2,-21.0782,True,fuzzy_logic_fixed_snr,-0.3674,0.1063
