time,car_ID_TX,car_ID_RX,snr_values,distance_values,rel_speed_values,snr_values_norm,distance_values_norm,rel_speed_values_norm,composite_snr_db,use_nn,testing_case,psnr,accuracy
10,v1,v2,40.0,20.22,20.0,1.0,0.1011,0.4,21.4669,False,fuzzy_logic_fixed_snr,27.6047,0.9795
10,v1,v5,40.0,110.0,20.0,1.0,0.55,0.4,12.6406,False,fuzzy_logic_fixed_snr,18.7781,0.9139
10,v1,v6,40.0,190.02,10.0,1.0,0.9501,0.2,10.8481,True,fuzzy_logic_fixed_snr,23.935,0.9139
10,v2,v1,20.0,20.22,20.0,0.6,0.1011,0.4,1.4669,True,fuzzy_logic_fixed_snr,20.7287,0.8348
10,v2,v5,20.0,130.03,40.0,0.6,0.6502,0.8,-9.5625,True,fuzzy_logic_fixed_snr,10.7042,0.2293
10,v3,v4,20.0,50.09,30.0,0.6,0.2504,0.6,-4.0094,True,fuzzy_logic_fixed_snr,16.3921,0.6023
10,v3,v7,20.0,100.0,30.0,0.6,0.5,0.6,-7.6124,True,fuzzy_logic_fixed_snr,12.838,0.3459
10,v3,v8,20.0,130.03,10.0,0.6,0.6502,0.2,-7.1749,True,fuzzy_logic_fixed_snr,13.2725,0.3605
10,v4,v3,40.0,50.09,30.0,1.0,0.2504,0.6,15.9906,False,fuzzy_logic_fixed_snr,22.1297,0.952
10,v4,v7,40.0,50.09,0.0,1.0,0.2504,0.0,19.603,False,fuzzy_logic_fixed_snr,25.7416,0.976
10,v4,v8,40.0,80.0,20.0,1.0,0.4,0.4,14.3002,False,fuzzy_logic_fixed_snr,20.4369,0.9301
10,v4,v12,40.0,170.0,20.0,1.0,0.85,0.4,10.3719,True,fuzzy_logic_fixed_snr,23.876,0.9119
10,v4,v16,40.0,170.0,20.0,1.0,0.85,0.4,10.3719,True,fuzzy_logic_fixed_snr,23.872,0.9113
11,v1,v2,40.0,3.0,10.0,1.0,0.015,0.2,32.4684,False,fuzzy_logic_fixed_snr,38.606,0.9941
11,v1,v5,40.0,90.0,10.0,1.0,0.45,0.2,14.7429,False,fuzzy_logic_fixed_snr,20.881,0.9428
11,v2,v1,20.0,3.0,10.0,0.6,0.015,0.2,12.4684,False,fuzzy_logic_fixed_snr,18.6063,0.8922
11,v2,v5,20.0,90.05,20.0,0.6,0.4502,0.4,-6.3165,True,fuzzy_logic_fixed_snr,14.2004,0.4449
11,v2,v6,20.0,200.0,0.0,0.6,1.0,0.0,-7.6124,True,fuzzy_logic_fixed_snr,12.8608,0.3471
11,v3,v4,20.0,80.06,10.0,0.6,0.4003,0.2,-4.6469,True,fuzzy_logic_fixed_snr,15.8104,0.5717
11,v3,v7,20.0,130.0,30.0,0.6,0.65,0.6,-8.9797,True,fuzzy_logic_fixed_snr,11.3449,0.2768
11,v3,v8,20.0,140.03,20.0,0.6,0.7002,0.4,-8.6175,True,fuzzy_logic_fixed_snr,11.7617,0.2889
11,v4,v7,40.0,50.09,20.0,1.0,0.2504,0.4,16.7403,False,fuzzy_logic_fixed_snr,22.878,0.9564
11,v4,v8,40.0,60.0,10.0,1.0,0.3,0.2,16.856,False,fuzzy_logic_fixed_snr,22.9936,0.9594
11,v4,v3,40.0,80.06,10.0,1.0,0.4003,0.2,15.3531,False,fuzzy_logic_fixed_snr,21.4903,0.948
11,v4,v11,40.0,140.03,30.0,1.0,0.7002,0.6,10.6329,True,fuzzy_logic_fixed_snr,23.9088,0.902
11,v4,v12,40.0,190.0,10.0,1.0,0.95,0.2,10.8488,True,fuzzy_logic_fixed_snr,23.9352,0.9039
12,v1,v2,40.0,10.44,20.0,1.0,0.0522,0.4,24.9127,False,fuzzy_logic_fixed_snr,31.0506,0.9922
12,v1,v5,40.0,100.0,0.0,1.0,0.5,0.0,16.0,False,fuzzy_logic_fixed_snr,22.139,0.9529
12,v1,v6,40.0,190.02,10.0,1.0,0.9501,0.2,10.8481,True,fuzzy_logic_fixed_snr,23.925,0.9055
12,v2,v1,20.0,10.44,20.0,0.6,0.0522,0.4,4.9127,True,fuzzy_logic_fixed_snr,22.4586,0.8779
12,v2,v5,20.0,110.04,20.0,0.6,0.5502,0.4,-7.3614,True,fuzzy_logic_fixed_snr,13.113,0.3693
12,v2,v6,20.0,200.0,10.0,0.6,1.0,0.2,-9.4185,True,fuzzy_logic_fixed_snr,10.8557,0.2396
12,v3,v4,20.0,70.06,0.0,0.6,0.3503,0.0,-2.146,True,fuzzy_logic_fixed_snr,18.0591,0.7049
12,v3,v7,20.0,100.0,20.0,0.6,0.5,0.4,-6.8627,True,fuzzy_logic_fixed_snr,13.6048,0.3748
12,v3,v8,20.0,120.04,20.0,0.6,0.6002,0.4,-7.8145,True,fuzzy_logic_fixed_snr,12.6333,0.3469
12,v3,v11,20.0,180.0,10.0,0.6,0.9,0.2,-8.8695,True,fuzzy_logic_fixed_snr,11.4635,0.2752
12,v4,v7,40.0,30.15,20.0,1.0,0.1507,0.4,19.3859,False,fuzzy_logic_fixed_snr,25.5239,0.9701
12,v4,v8,40.0,50.0,20.0,1.0,0.25,0.4,16.7496,False,fuzzy_logic_fixed_snr,22.8875,0.9559
12,v4,v3,40.0,70.06,0.0,1.0,0.3503,0.0,17.854,False,fuzzy_logic_fixed_snr,23.991,0.9652
