time,car_ID_TX,car_ID_RX,snr_values,distance_values,rel_speed_values,snr_values_norm,distance_values_norm,rel_speed_values_norm,composite_snr_db,use_nn,testing_case,psnr,accuracy
10,v1,v2,40.0,20.22,20.0,1.0,0.1011,0.4,9.1116,False,fuzzy_logic_fixed_snr,9.0934,0.9941
10,v1,v5,40.0,110.0,20.0,1.0,0.55,0.4,-5.5991,False,fuzzy_logic_fixed_snr,-5.6143,0.8289
10,v1,v6,40.0,190.02,10.0,1.0,0.9501,0.2,-8.5865,True,fuzzy_logic_fixed_snr,1.0088,0.2615
10,v2,v1,20.0,20.22,20.0,0.6,0.1011,0.4,-10.8884,True,fuzzy_logic_fixed_snr,0.8354,0.227
10,v2,v5,20.0,130.03,40.0,0.6,0.6502,0.8,-29.2709,True,fuzzy_logic_fixed_snr,0.3756,0.1031
10,v3,v4,20.0,50.09,30.0,0.6,0.2504,0.6,-20.0156,True,fuzzy_logic_fixed_snr,0.4864,0.125
10,v3,v7,20.0,100.0,30.0,0.6,0.5,0.6,-26.0206,True,fuzzy_logic_fixed_snr,0.3959,0.1031
10,v3,v8,20.0,130.03,10.0,0.6,0.6502,0.2,-25.2915,True,fuzzy_logic_fixed_snr,0.393,0.1074
10,v4,v3,40.0,50.09,30.0,1.0,0.2504,0.6,-0.0156,False,fuzzy_logic_fixed_snr,-0.0394,0.973
10,v4,v7,40.0,50.09,0.0,1.0,0.2504,0.0,6.005,False,fuzzy_logic_fixed_snr,5.9865,0.9912
10,v4,v8,40.0,80.0,20.0,1.0,0.4,0.4,-2.833,False,fuzzy_logic_fixed_snr,-2.8693,0.9213
10,v4,v12,40.0,170.0,20.0,1.0,0.85,0.4,-9.3802,True,fuzzy_logic_fixed_snr,0.9415,0.2479
10,v4,v16,40.0,170.0,20.0,1.0,0.85,0.4,-9.3802,True,fuzzy_logic_fixed_snr,0.9538,0.2412
11,v1,v2,40.0,3.0,10.0,1.0,0.015,0.2,27.4473,False,fuzzy_logic_fixed_snr,27.4272,0.998
11,v1,v5,40.0,90.0,10.0,1.0,0.45,0.2,-2.0952,False,fuzzy_logic_fixed_snr,-2.1256,0.948
11,v2,v1,20.0,3.0,10.0,0.6,0.015,0.2,7.4473,False,fuzzy_logic_fixed_snr,7.4238,0.9932
11,v2,v5,20.0,90.05,20.0,0.6,0.4502,0.4,-23.8609,True,fuzzy_logic_fixed_snr,0.4128,0.1033
11,v2,v6,20.0,200.0,0.0,0.6,1.0,0.0,-26.0206,True,fuzzy_logic_fixed_snr,0.38,0.1018
11,v3,v4,20.0,80.06,10.0,0.6,0.4003,0.2,-21.0782,True,fuzzy_logic_fixed_snr,0.4842,0.117
11,v3,v7,20.0,130.0,30.0,0.6,0.65,0.6,-28.2995,True,fuzzy_logic_fixed_snr,0.3674,0.0961
11,v3,v8,20.0,140.03,20.0,0.6,0.7002,0.4,-27.6958,True,fuzzy_logic_fixed_snr,0.3659,0.1107
11,v4,v7,40.0,50.09,20.0,1.0,0.2504,0.4,1.2338,False,fuzzy_logic_fixed_snr,1.2134,0.9721
11,v4,v8,40.0,60.0,10.0,1.0,0.3,0.2,1.4267,False,fuzzy_logic_fixed_snr,1.3901,0.968
11,v4,v3,40.0,80.06,10.0,1.0,0.4003,0.2,-1.0782,False,fuzzy_logic_fixed_snr,-1.1058,0.951
11,v4,v11,40.0,140.03,30.0,1.0,0.7002,0.6,-8.9452,True,fuzzy_logic_fixed_snr,0.9558,0.2648
11,v4,v12,40.0,190.0,10.0,1.0,0.95,0.2,-8.5854,True,fuzzy_logic_fixed_snr,0.9899,0.2424
