time,car_ID_TX,car_ID_RX,snr_values,distance_values,rel_speed_values,snr_values_norm,distance_values_norm,rel_speed_values_norm,composite_snr_db,use_nn,testing_case,psnr,accuracy
10,v1,v2,40.0,23.19,20.0,1.0,0.116,0.2,14.3368,False,fuzzy_logic_fixed_snr,14.3096,0.9971
10,v1,v3,40.0,74.24,20.0,1.0,0.3712,0.2,6.2526,False,fuzzy_logic_fixed_snr,6.2157,0.9902
10,v1,v5,40.0,107.04,20.0,1.0,0.5352,0.2,3.7102,False,fuzzy_logic_fixed_snr,3.688,0.9863
10,v1,v4,40.0,130.0,10.0,1.0,0.65,0.1,3.7687,False,fuzzy_logic_fixed_snr,3.7456,0.9854
10,v1,v7,40.0,180.0,10.0,1.0,0.9,0.1,1.5074,True,fuzzy_logic_fixed_snr,2.2776,0.7756
10,v2,v1,20.0,23.19,20.0,0.6,0.116,0.2,-5.6632,False,fuzzy_logic_fixed_snr,-5.7062,0.8221
10,v2,v3,20.0,97.05,40.0,0.6,0.4852,0.4,-17.3834,True,fuzzy_logic_fixed_snr,0.5512,0.1523
10,v2,v5,20.0,130.0,40.0,0.6,0.65,0.4,-19.4149,True,fuzzy_logic_fixed_snr,0.5041,0.1467
10,v2,v4,20.0,153.03,10.0,0.6,0.7651,0.1,-17.3646,True,fuzzy_logic_fixed_snr,0.5199,0.1322
10,v3,v5,20.0,33.14,0.0,0.6,0.1657,0.0,-4.3248,False,fuzzy_logic_fixed_snr,-4.3586,0.8957
10,v3,v4,20.0,56.32,30.0,0.6,0.2816,0.3,-12.8271,True,fuzzy_logic_fixed_snr,0.7081,0.1969
10,v3,v1,20.0,74.24,20.0,0.6,0.3712,0.2,-13.7474,True,fuzzy_logic_fixed_snr,0.6664,0.1611
10,v3,v2,20.0,97.05,40.0,0.6,0.4852,0.4,-17.3834,True,fuzzy_logic_fixed_snr,0.5389,0.1498
10,v3,v7,20.0,106.17,30.0,0.6,0.5308,0.3,-17.2325,True,fuzzy_logic_fixed_snr,0.5302,0.141
10,v4,v5,40.0,23.19,30.0,1.0,0.116,0.3,13.3373,False,fuzzy_logic_fixed_snr,13.3119,0.998
10,v4,v7,40.0,50.0,0.0,1.0,0.25,0.0,12.8165,False,fuzzy_logic_fixed_snr,12.7923,0.9941
10,v4,v6,40.0,54.33,0.0,1.0,0.2717,0.0,12.2391,False,fuzzy_logic_fixed_snr,12.2096,0.9932
10,v4,v3,40.0,56.32,30.0,1.0,0.2816,0.3,7.1729,False,fuzzy_logic_fixed_snr,7.137,0.9941
10,v4,v8,40.0,77.06,20.0,1.0,0.3853,0.2,5.9939,False,fuzzy_logic_fixed_snr,5.9648,0.9883
11,v1,v2,40.0,4.24,10.0,1.0,0.0212,0.1,27.5496,False,fuzzy_logic_fixed_snr,27.5268,0.998
11,v1,v3,40.0,54.33,10.0,1.0,0.2717,0.1,9.8308,False,fuzzy_logic_fixed_snr,9.7938,0.9951
11,v1,v5,40.0,87.05,10.0,1.0,0.4353,0.1,6.5553,False,fuzzy_logic_fixed_snr,6.5136,0.9844
11,v1,v4,40.0,140.0,0.0,1.0,0.7,0.0,5.662,False,fuzzy_logic_fixed_snr,5.6315,0.9863
11,v1,v7,40.0,190.0,20.0,1.0,0.95,0.2,-0.277,True,fuzzy_logic_fixed_snr,2.0311,0.683
11,v2,v1,20.0,4.24,10.0,0.6,0.0212,0.1,7.5496,False,fuzzy_logic_fixed_snr,7.5304,0.9932
11,v2,v3,20.0,57.08,20.0,0.6,0.2854,0.2,-11.9206,True,fuzzy_logic_fixed_snr,0.7577,0.199
